q,scenario,bal_acc_mean,bal_acc_std,architecture
80,near_ood,0.6616167705044856,0.0018625302385273806,vit
80,far_ood,0.894226373844778,0.0029744615205111067,vit
85,near_ood,0.6404494855686835,0.0016311732190316692,vit
85,far_ood,0.9196561661532346,0.0030574651269244116,vit
90,near_ood,0.6122973990374212,0.0017711334703637313,vit
90,far_ood,0.9451157706449369,0.002803155604617173,vit
95,near_ood,0.5862189666479052,0.00034803037516044566,vit
95,far_ood,0.9708536221802643,0.0010137847105242434,vit
97,near_ood,0.5657512701297068,0.0004519085804778817,vit
97,far_ood,0.981993441319686,0.0009695964159912688,vit
99,near_ood,0.5394996905715288,0.0005078810369166104,vit
99,far_ood,0.9931531352479379,0.0008800346881690812,vit
80,near_ood,0.7127427602762306,0.002051021388396573,cnn
80,far_ood,0.8851435953492995,0.0026880605971618564,cnn
85,near_ood,0.7006320099863552,0.00210205768269319,cnn
85,far_ood,0.9106528868130777,0.0023804156631641775,cnn
90,near_ood,0.6839917413821112,0.0014722670447890672,cnn
90,far_ood,0.936768359336182,0.002692648830790045,cnn
95,near_ood,0.6415392837233985,0.0016735882779023404,cnn
95,far_ood,0.9640862565835239,0.003062386700553498,cnn
97,near_ood,0.6162499592857275,0.0010775189717899545,cnn
97,far_ood,0.9754148862168339,0.002189160850813719,cnn
99,near_ood,0.5733774257667302,0.0012555644117498955,cnn
99,far_ood,0.9891185531153731,0.0009570386705881963,cnn
